| اسم_الجدول                      | اسم_العمود                    | ترتيب_العمود | نوع_البيانات                | الحد_الأقصى_للطول | دقة_الرقم | عدد_الخانات_العشرية | يقبل_القيم_الفارغة | القيمة_الافتراضية                                     |
| ai_system_logs                  | operation                     | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_logs                  | description                   | 5            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_logs                  | data                          | 6            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_logs                  | execution_time                | 7            | integer                     | null              | 32        | 0                   | YES                | null                                                  |
| ai_system_logs                  | user_id                       | 8            | character varying           | null              | null      | null                | YES                | null                                                  |
| ai_system_logs                  | project_id                    | 9            | character varying           | null              | null      | null                | YES                | null                                                  |
| ai_system_logs                  | success                       | 10           | boolean                     | null              | null      | null                | NO                 | true                                                  |
| ai_system_logs                  | error_message                 | 11           | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_logs                  | created_at                    | 12           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_metrics               | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| ai_system_metrics               | metric_type                   | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_metrics               | metric_name                   | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_metrics               | metric_value                  | 4            | numeric                     | null              | 10        | 4                   | NO                 | null                                                  |
| ai_system_metrics               | metric_unit                   | 5            | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_metrics               | timestamp                     | 6            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_metrics               | metadata                      | 7            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_metrics               | calculated_from               | 8            | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_metrics               | valid_until                   | 9            | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| ai_system_metrics               | is_active                     | 10           | boolean                     | null              | null      | null                | NO                 | true                                                  |
| ai_system_metrics               | created_at                    | 11           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_recommendations       | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| ai_system_recommendations       | recommendation_type           | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_recommendations       | title                         | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_recommendations       | description                   | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_recommendations       | estimated_impact              | 5            | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | timeframe                     | 6            | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | priority                      | 7            | text                        | null              | null      | null                | NO                 | 'medium'::text                                        |
| ai_system_recommendations       | confidence                    | 8            | integer                     | null              | 32        | 0                   | NO                 | 80                                                    |
| ai_system_recommendations       | auto_executable               | 9            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| ai_system_recommendations       | execution_script              | 10           | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | status                        | 11           | text                        | null              | null      | null                | NO                 | 'active'::text                                        |
| ai_system_recommendations       | executed_at                   | 12           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | dismissed_at                  | 13           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | execution_result              | 14           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | target_area                   | 15           | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | created_at                    | 16           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_recommendations       | requirements                  | 17           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | risks                         | 18           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | valid_until                   | 19           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| ai_system_recommendations       | updated_at                    | 20           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_recommendations       | executed_by                   | 21           | uuid                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_audit_log                  | user_id                       | 2            | uuid                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | session_id                    | 3            | character varying           | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | action                        | 4            | character varying           | 100               | null      | null                | NO                 | null                                                  |
| auth_audit_log                  | resource                      | 5            | character varying           | 100               | null      | null                | YES                | null                                                  |
| auth_audit_log                  | resource_id                   | 6            | character varying           | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | old_values                    | 7            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | new_values                    | 8            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | ip_address                    | 9            | inet                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | user_agent                    | 10           | text                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | status                        | 11           | character varying           | 20                | null      | null                | YES                | 'success'::character varying                          |
| auth_audit_log                  | error_message                 | 12           | text                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | duration                      | 13           | integer                     | null              | 32        | 0                   | YES                | null                                                  |
| auth_audit_log                  | url                           | 14           | text                        | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | method                        | 15           | character varying           | 10                | null      | null                | YES                | null                                                  |
| auth_audit_log                  | request_body                  | 16           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | response_status               | 17           | integer                     | null              | 32        | 0                   | YES                | null                                                  |
| auth_audit_log                  | metadata                      | 18           | jsonb                       | null              | null      | null                | YES                | '{}'::jsonb                                           |
| auth_audit_log                  | tags                          | 19           | ARRAY                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | created_at                    | 20           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_audit_log                  | request_data                  | 21           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | response_data                 | 22           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_audit_log                  | risk_level                    | 23           | text                        | null              | null      | null                | YES                | null                                                  |
| auth_permissions                | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_permissions                | name                          | 2            | character varying           | 100               | null      | null                | NO                 | null                                                  |
| auth_permissions                | display_name                  | 3            | character varying           | 255               | null      | null                | NO                 | null                                                  |
| auth_permissions                | description                   | 4            | text                        | null              | null      | null                | YES                | null                                                  |
| auth_permissions                | resource                      | 5            | character varying           | 100               | null      | null                | NO                 | null                                                  |
| auth_permissions                | action                        | 6            | character varying           | 50                | null      | null                | NO                 | null                                                  |
| auth_permissions                | scope                         | 7            | character varying           | 50                | null      | null                | YES                | 'global'::character varying                           |
| auth_permissions                | created_at                    | 8            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_role_permissions           | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_role_permissions           | role_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_role_permissions           | permission_id                 | 3            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_role_permissions           | granted_at                    | 4            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_roles                      | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_roles                      | name                          | 2            | character varying           | 100               | null      | null                | NO                 | null                                                  |
| auth_roles                      | display_name                  | 3            | character varying           | 255               | null      | null                | NO                 | null                                                  |
| auth_roles                      | description                   | 4            | text                        | null              | null      | null                | YES                | null                                                  |
| auth_roles                      | is_system                     | 5            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| auth_roles                      | color                         | 6            | character varying           | 7                 | null      | null                | NO                 | '#3B82F6'::character varying                          |
| auth_roles                      | created_at                    | 7            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_roles                      | updated_at                    | 8            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_permissions           | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_user_permissions           | user_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_permissions           | permission_id                 | 3            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_permissions           | assigned_by                   | 4            | uuid                        | null              | null      | null                | YES                | null                                                  |
| auth_user_permissions           | granted_at                    | 5            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_permissions           | expires_at                    | 6            | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| auth_user_permissions           | is_active                     | 7            | boolean                     | null              | null      | null                | NO                 | true                                                  |
| auth_user_roles                 | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_user_roles                 | user_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_roles                 | role_id                       | 3            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_roles                 | assigned_by                   | 4            | uuid                        | null              | null      | null                | YES                | null                                                  |
| auth_user_roles                 | granted_at                    | 5            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_roles                 | expires_at                    | 6            | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| auth_user_roles                 | is_active                     | 7            | boolean                     | null              | null      | null                | NO                 | true                                                  |
| auth_user_security_settings     | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_user_security_settings     | user_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_security_settings     | password_expiry_days          | 3            | integer                     | null              | 32        | 0                   | YES                | 90                                                    |
| auth_user_security_settings     | require_password_change       | 4            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| auth_user_security_settings     | password_history              | 5            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_user_security_settings     | session_timeout               | 6            | integer                     | null              | 32        | 0                   | NO                 | 30                                                    |
| auth_user_security_settings     | max_sessions                  | 7            | integer                     | null              | 32        | 0                   | NO                 | 5                                                     |
| auth_user_security_settings     | require_mfa_for_sensitive     | 8            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| auth_user_security_settings     | trust_device_days             | 9            | integer                     | null              | 32        | 0                   | NO                 | 30                                                    |
| auth_user_security_settings     | allowed_ip_addresses          | 10           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_user_security_settings     | device_restrictions           | 11           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_user_security_settings     | security_notifications        | 12           | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_user_security_settings     | created_at                    | 13           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_security_settings     | updated_at                    | 14           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_security_settings     | auto_revoke_inactive          | 15           | boolean                     | null              | null      | null                | NO                 | true                                                  |
| auth_user_security_settings     | inactivity_days               | 16           | integer                     | null              | 32        | 0                   | NO                 | 90                                                    |
| auth_user_sessions              | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_user_sessions              | user_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_user_sessions              | session_token                 | 3            | character varying           | null              | null      | null                | NO                 | null                                                  |
| auth_user_sessions              | device_fingerprint            | 4            | character varying           | null              | null      | null                | YES                | null                                                  |
| auth_user_sessions              | user_agent                    | 5            | text                        | null              | null      | null                | YES                | null                                                  |
| auth_user_sessions              | ip_address                    | 6            | inet                        | null              | null      | null                | YES                | null                                                  |
| auth_user_sessions              | location_data                 | 7            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| auth_user_sessions              | is_trusted_device             | 8            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| auth_user_sessions              | expires_at                    | 9            | timestamp without time zone | null              | null      | null                | NO                 | null                                                  |
| auth_user_sessions              | last_activity                 | 10           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_sessions              | created_at                    | 11           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_user_sessions              | updated_at                    | 12           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| auth_verification_codes         | id                            | 1            | uuid                        | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| auth_verification_codes         | user_id                       | 2            | uuid                        | null              | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | type                          | 3            | character varying           | 50                | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | code                          | 4            | character varying           | 10                | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | code_hash                     | 5            | character varying           | null              | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | email                         | 6            | text                        | null              | null      | null                | YES                | null                                                  |
| auth_verification_codes         | phone                         | 7            | character varying           | 20                | null      | null                | YES                | null                                                  |
| auth_verification_codes         | sent_via                      | 8            | character varying           | 20                | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | expires_at                    | 9            | timestamp without time zone | null              | null      | null                | NO                 | null                                                  |
| auth_verification_codes         | used_at                       | 10           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| auth_verification_codes         | ip_address                    | 11           | inet                        | null              | null      | null                | YES                | null                                                  |
| auth_verification_codes         | user_agent                    | 12           | text                        | null              | null      | null                | YES                | null                                                  |
| auth_verification_codes         | attempts                      | 13           | integer                     | null              | 32        | 0                   | NO                 | 0                                                     |
| auth_verification_codes         | max_attempts                  | 14           | integer                     | null              | 32        | 0                   | NO                 | 3                                                     |
| auth_verification_codes         | created_at                    | 15           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| autocomplete_data               | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| autocomplete_data               | category                      | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| autocomplete_data               | value                         | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| autocomplete_data               | usage_count                   | 4            | integer                     | null              | 32        | 0                   | NO                 | 1                                                     |
| autocomplete_data               | created_at                    | 5            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| autocomplete_data               | last_used                     | 6            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| channels                        | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| channels                        | name                          | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| channels                        | type                          | 3            | text                        | null              | null      | null                | NO                 | 'approval'::text                                      |
| channels                        | related_object_type           | 4            | text                        | null              | null      | null                | YES                | null                                                  |
| channels                        | related_object_id             | 5            | character varying           | null              | null      | null                | YES                | null                                                  |
| channels                        | participant_ids               | 6            | jsonb                       | null              | null      | null                | NO                 | null                                                  |
| channels                        | is_private                    | 7            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| channels                        | created_by                    | 8            | character varying           | null              | null      | null                | NO                 | null                                                  |
| channels                        | last_message_at               | 9            | timestamp with time zone    | null              | null      | null                | YES                | null                                                  |
| channels                        | created_at                    | 10           | timestamp with time zone    | null              | null      | null                | NO                 | now()                                                 |
| daily_expense_summaries         | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| daily_expense_summaries         | project_id                    | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| daily_expense_summaries         | date                          | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| daily_expense_summaries         | carried_forward_amount        | 4            | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| daily_expense_summaries         | total_fund_transfers          | 5            | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| daily_expense_summaries         | total_worker_wages            | 6            | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| daily_expense_summaries         | total_material_costs          | 7            | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| daily_expense_summaries         | total_transportation_costs    | 8            | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| daily_expense_summaries         | total_income                  | 9            | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| daily_expense_summaries         | total_expenses                | 10           | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| daily_expense_summaries         | remaining_balance             | 11           | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| daily_expense_summaries         | created_at                    | 12           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| equipment                       | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| equipment                       | name                          | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| equipment                       | code                          | 3            | character varying           | null              | null      | null                | NO                 | null                                                  |
| equipment                       | type                          | 4            | character varying           | null              | null      | null                | NO                 | null                                                  |
| equipment                       | status                        | 5            | character varying           | null              | null      | null                | NO                 | 'active'::character varying                           |
| equipment                       | description                   | 6            | text                        | null              | null      | null                | YES                | null                                                  |
| equipment                       | purchase_date                 | 7            | date                        | null              | null      | null                | YES                | null                                                  |
| equipment                       | purchase_price                | 8            | numeric                     | null              | 12        | 2                   | YES                | null                                                  |
| equipment                       | current_project_id            | 9            | character varying           | null              | null      | null                | YES                | null                                                  |
| equipment                       | created_at                    | 10           | timestamp with time zone    | null              | null      | null                | YES                | CURRENT_TIMESTAMP                                     |
| equipment                       | updated_at                    | 11           | timestamp with time zone    | null              | null      | null                | YES                | CURRENT_TIMESTAMP                                     |
| equipment                       | image_url                     | 12           | text                        | null              | null      | null                | YES                | null                                                  |
| equipment_movements             | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| equipment_movements             | equipment_id                  | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| equipment_movements             | from_project_id               | 3            | character varying           | null              | null      | null                | YES                | null                                                  |
| equipment_movements             | to_project_id                 | 4            | character varying           | null              | null      | null                | YES                | null                                                  |
| equipment_movements             | movement_date                 | 5            | timestamp with time zone    | null              | null      | null                | NO                 | CURRENT_TIMESTAMP                                     |
| equipment_movements             | reason                        | 6            | text                        | null              | null      | null                | YES                | null                                                  |
| equipment_movements             | performed_by                  | 7            | text                        | null              | null      | null                | NO                 | null                                                  |
| equipment_movements             | notes                         | 8            | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| error_logs                      | error_type                    | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | error_code                    | 3            | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | table_name                    | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | column_name                   | 5            | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | operation                     | 6            | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | original_message              | 7            | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | friendly_message              | 8            | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | context                       | 9            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| error_logs                      | attempted_value               | 10           | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | user_id                       | 11           | character varying           | null              | null      | null                | YES                | null                                                  |
| error_logs                      | project_id                    | 12           | character varying           | null              | null      | null                | YES                | null                                                  |
| error_logs                      | stack_trace                   | 13           | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | query_executed                | 14           | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | execution_time                | 15           | integer                     | null              | 32        | 0                   | YES                | null                                                  |
| error_logs                      | severity                      | 16           | text                        | null              | null      | null                | NO                 | 'medium'::text                                        |
| error_logs                      | category                      | 17           | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | fingerprint                   | 18           | text                        | null              | null      | null                | NO                 | null                                                  |
| error_logs                      | status                        | 19           | text                        | null              | null      | null                | NO                 | 'new'::text                                           |
| error_logs                      | resolved_by                   | 20           | character varying           | null              | null      | null                | YES                | null                                                  |
| error_logs                      | resolved_at                   | 21           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| error_logs                      | resolution_notes              | 22           | text                        | null              | null      | null                | YES                | null                                                  |
| error_logs                      | occurrence_count              | 23           | integer                     | null              | 32        | 0                   | NO                 | 1                                                     |
| error_logs                      | first_seen                    | 24           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| error_logs                      | last_seen                     | 25           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| error_logs                      | notification_sent             | 26           | boolean                     | null              | null      | null                | NO                 | false                                                 |
| error_logs                      | last_notification_sent        | 27           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| error_logs                      | created_at                    | 28           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| error_logs                      | updated_at                    | 29           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| fund_transfers                  | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| fund_transfers                  | project_id                    | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| fund_transfers                  | amount                        | 3            | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| fund_transfers                  | sender_name                   | 4            | text                        | null              | null      | null                | YES                | null                                                  |
| fund_transfers                  | transfer_number               | 5            | text                        | null              | null      | null                | YES                | null                                                  |
| fund_transfers                  | transfer_type                 | 6            | text                        | null              | null      | null                | NO                 | null                                                  |
| fund_transfers                  | transfer_date                 | 7            | timestamp without time zone | null              | null      | null                | NO                 | null                                                  |
| fund_transfers                  | notes                         | 8            | text                        | null              | null      | null                | YES                | null                                                  |
| fund_transfers                  | created_at                    | 9            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| material_purchases              | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| material_purchases              | project_id                    | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| material_purchases              | material_id                   | 3            | character varying           | null              | null      | null                | NO                 | null                                                  |
| material_purchases              | quantity                      | 4            | numeric                     | null              | 10        | 3                   | NO                 | null                                                  |
| material_purchases              | unit_price                    | 5            | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| material_purchases              | total_amount                  | 6            | numeric                     | null              | 10        | 2                   | NO                 | null                                                  |
| material_purchases              | purchase_type                 | 7            | text                        | null              | null      | null                | NO                 | null                                                  |
| material_purchases              | supplier_name                 | 8            | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | invoice_number                | 9            | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | invoice_date                  | 10           | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | invoice_photo                 | 11           | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | notes                         | 12           | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | purchase_date                 | 13           | text                        | null              | null      | null                | NO                 | null                                                  |
| material_purchases              | created_at                    | 14           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| material_purchases              | supplier_id                   | 15           | character varying           | null              | null      | null                | YES                | null                                                  |
| material_purchases              | paid_amount                   | 16           | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| material_purchases              | remaining_amount              | 17           | numeric                     | null              | 10        | 2                   | NO                 | 0                                                     |
| material_purchases              | due_date                      | 18           | text                        | null              | null      | null                | YES                | null                                                  |
| material_purchases              | payment_type                  | 19           | text                        | null              | null      | null                | YES                | 'نقد'::text                                           |
| materials                       | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| materials                       | name                          | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| materials                       | category                      | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| materials                       | unit                          | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| materials                       | created_at                    | 5            | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| messages                        | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| messages                        | channel_id                    | 2            | character varying           | null              | null      | null                | NO                 | null                                                  |
| messages                        | sender_id                     | 3            | character varying           | null              | null      | null                | NO                 | null                                                  |
| messages                        | content                       | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| messages                        | message_type                  | 5            | text                        | null              | null      | null                | NO                 | 'text'::text                                          |
| messages                        | attachments                   | 6            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| messages                        | related_object_type           | 7            | text                        | null              | null      | null                | YES                | null                                                  |
| messages                        | related_object_id             | 8            | character varying           | null              | null      | null                | YES                | null                                                  |
| messages                        | is_decision                   | 9            | boolean                     | null              | null      | null                | NO                 | false                                                 |
| messages                        | decision_type                 | 10           | text                        | null              | null      | null                | YES                | null                                                  |
| messages                        | is_edited                     | 11           | boolean                     | null              | null      | null                | NO                 | false                                                 |
| messages                        | edited_at                     | 12           | timestamp with time zone    | null              | null      | null                | YES                | null                                                  |
| messages                        | created_at                    | 13           | timestamp with time zone    | null              | null      | null                | NO                 | now()                                                 |
| notification_metrics            | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| notification_metrics            | notification_id               | 2            | character varying           | null              | null      | null                | YES                | null                                                  |
| notification_metrics            | recipient_id                  | 3            | character varying           | null              | null      | null                | YES                | null                                                  |
